dataset,sample_index,stream_step,progress_ratio,rolling_clip_acc,rolling_tda_acc,rolling_freetta_acc,rolling_clip_confidence,rolling_tda_confidence,rolling_freetta_confidence,rolling_clip_entropy,rolling_tda_entropy,rolling_freetta_entropy,rolling_tda_vs_clip,rolling_freetta_vs_clip,rolling_freetta_vs_tda
eurosat,0,0,0.0001234567901234568,1.0,1.0,1.0,0.10116509348154068,0.9351479411125183,0.1018652692437172,2.3025307655334473,0.36257338523864746,2.3024463653564453,0.0,0.0,0.0
eurosat,1,1,0.0002469135802469136,0.5,0.5,0.5,0.10381908714771271,0.9674120247364044,0.10586325451731682,2.3023874759674072,0.18305000488180667,2.302093982696533,0.0,0.0,0.0
eurosat,2,2,0.00037037037037037035,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.10389558722575505,0.9759526054064432,0.10631112257639568,2.3023199240366616,0.13869651166411737,2.301889499028524,0.0,0.0,0.0
eurosat,3,3,0.0004938271604938272,0.75,0.75,0.75,0.1042048241943121,0.981926217675209,0.10691355355083942,2.302261710166931,0.10442922060610726,2.3017396926879883,0.0,0.0,0.0
eurosat,4,4,0.0006172839506172839,0.6,0.6,0.8,0.10360096991062165,0.9370808482170105,0.10596079379320145,2.3023138523101805,0.2287582798395306,2.301880693435669,0.0,0.20000000000000007,0.20000000000000007
eurosat,5,5,0.0007407407407407407,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.10385856404900551,0.947563499212265,0.10638635605573654,2.3022700548171997,0.19068029910461823,2.3017770449320474,0.0,0.16666666666666674,0.16666666666666674
eurosat,6,6,0.0008641975308641976,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.10354998601334435,0.9222457153456551,0.10591310262680054,2.3022968769073486,0.28392620929766316,2.3018512385232106,0.0,0.1428571428571428,0.1428571428571428
eurosat,7,7,0.0009876543209876543,0.625,0.625,0.875,0.10323549993336201,0.9146405905485153,0.10535138100385666,2.302329331636429,0.3190670564035827,2.3019352555274963,0.0,0.25,0.25
eurosat,8,8,0.0011111111111111111,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.10305681907468373,0.879795769850413,0.1050887323088116,2.30234604411655,0.4133176100925387,2.3019812371995716,0.0,0.2222222222222222,0.2222222222222222
eurosat,9,9,0.0012345679012345679,0.7,0.7,0.8,0.10301969051361085,0.8915659785270691,0.10505743995308876,2.3023399353027343,0.37416000095836355,2.301971173286438,0.0,0.10000000000000009,0.10000000000000009
